Season,Latitude,DELTA_crossing,area_albedo_cloud,area_albedo_cloud_check,area_albedo,Carbon_eq,Carbon_eq_cloud
3,27,0.05055726263254279,543481.0127919952,480102.5579907689,812577.5563794231,0.001885602785023366,0.001885602785023366
3,28,0.13541752097657245,548330.3972689109,372416.49708416685,812511.3979701007,0.001885602785023366,0.001885602785023366
3,29,0.3495877341148681,544171.6985176066,83332.18477516808,812770.9588901554,0.001885602785023366,0.001885602785023366
3,30,0.44397674235876394,544630.2980054585,-44800.33931992948,813355.7243686308,0.001885602785023366,0.001885602785023366
3,31,0.6162448135986196,537919.0607716092,-282790.23450334184,814265.1580062651,0.001885602785023366,0.001885602785023366
3,32,0.7307802562945973,531756.6707791847,-441086.29133409634,815498.6959452254,0.001885602785023366,0.001885602785023366
3,33,0.9388720596822626,515698.8337818362,-714166.7014219966,817055.7401559902,0.001885602785023366,0.001885602785023366
3,34,1.4903538851001201,-1411840.3996504212,-1433651.9202962387,818935.6507905283,-0.005091127519563089,-0.005091127519563089
3,35,1.7537868264624343,-1755327.5036003743,-1759436.2762224823,821137.7375435263,-0.0063167693298282765,-0.0063167693298282765
3,36,1.8550842178906795,-1894458.264060245,-1898610.7024911903,823661.2499557894,-0.006788170026084118,-0.006788170026084118
3,37,2.100265076997177,-2235936.468664517,-2238658.6960405353,826505.3665852495,-0.008013811836349307,-0.008013811836349307
3,38,2.0724165182344763,-2183402.9645779887,-2187106.580224864,829669.1829617261,-0.00782525155784697,-0.00782525155784697
3,39,2.093507053600165,-2179632.386409355,-2184323.6505490933,833151.6982314938,-0.00782525155784697,-0.00782525155784697
3,40,1.96906093370146,-1980496.2210541086,-1990302.1588300057,836951.8003862525,-0.007071010443837623,-0.007071010443837623
3,41,1.8899659419313384,-1880357.9932737816,-1889032.2739037238,841068.2499588665,-0.006788170026084118,-0.006788170026084118
3,42,1.753985966332161,-1674640.3684581514,-1683104.5789728425,845499.6620543468,-0.006033928912074772,-0.006033928912074772
3,43,1.7203433423329972,-1591741.8419437432,-1596861.6239283178,850244.4865694022,-0.005751088494321267,-0.005751088494321267
3,44,1.4043575484590303,-1154281.0859047687,-1172298.7902453542,855300.9864367499,-0.004148326127051406,-0.004148326127051406
3,45,1.1966085019419026,-866223.7022632394,-875345.9846021738,860667.2137114787,-0.003111244595288554,-0.003111244595288554
3,46,0.8231106754025284,501323.3602811065,-418363.50650476664,866340.9832955527,0.001885602785023366,0.001885602785023366
